model,r,num_images,tome_top1,ours_top1,delta_top1,ci95_low,ci95_high,samples,seed
ViT-B/16,8,50000,83.698,83.776,0.078,-0.024,0.18,10000,0
ViT-B/16,12,50000,82.692,82.866,0.174,0.026,0.326,10000,0
ViT-B/16,16,50000,80.17,80.272,0.102,-0.062,0.266,10000,0
ViT-L/16,4,50000,85.222,85.232,0.01,-0.072,0.092,10000,0
ViT-L/16,8,50000,83.212,83.288,0.076,-0.106,0.258,10000,0
DeiT-S/16,8,50000,79.318,79.342,0.024,-0.06,0.108,10000,0
DeiT-S/16,12,50000,78.894,78.91,0.016,-0.104,0.136,10000,0
DeiT-S/16,16,50000,77.786,77.746,-0.038,-0.162,0.086,10000,0
DeiT-B/16,8,50000,81.1,81.17,0.07,-0.036,0.174,10000,0
DeiT-B/16,12,50000,80.142,80.136,-0.006,-0.154,0.14,10000,0
DeiT-B/16,16,50000,77.51,77.492,-0.018,-0.17,0.138,10000,0
