method,r,gflops,flops_reduction_percent,init_tokens,final_tokens,total_merged
Full patched,0,17.582740224,0.0,197,197,0
ToMe,4,15.337956096,12.766975450936396,197,149,48
ToMe,8,13.11804288,25.392500185527382,197,101,96
ToMe,12,10.923000576,37.876574203772975,197,53,144
ToMe,16,8.781186816,50.05791643321955,197,11,186
ToMe,20,7.1409216,59.38675366281746,197,4,193
ToMe,25,5.796116736,67.03519097615714,197,2,195
Ours,4,15.337956096,12.766975450936396,197,149,48
Ours,8,13.11804288,25.392500185527382,197,101,96
Ours,12,10.923000576,37.876574203772975,197,53,144
Ours,16,8.781186816,50.05791643321955,197,11,186
Ours,20,7.1409216,59.38675366281746,197,4,193
Ours,25,5.796116736,67.03519097615714,197,2,195
