model,r,beta,tome_top1,ours_top1,ours_top5,delta_top1_pp,final_tokens
deit_base_patch16_224,8,0.0,81.1,81.1,95.144,0.0,101
deit_base_patch16_224,8,0.005,81.1,81.136,95.13,0.036000000000001364,101
deit_base_patch16_224,8,0.01,81.1,81.128,95.124,0.028000000000005798,101
deit_base_patch16_224,8,0.015,81.1,81.122,95.116,0.02200000000000557,101
deit_base_patch16_224,8,0.02,81.1,81.142,95.126,0.04200000000000159,101
deit_base_patch16_224,8,0.035,81.1,81.17,95.178,0.07000000000000739,101
deit_base_patch16_224,8,0.05,81.1,81.17,95.19,0.07000000000000739,101
deit_base_patch16_224,8,0.075,81.1,81.18,95.202,0.0800000000000125,101
deit_base_patch16_224,8,0.1,81.1,81.192,95.202,0.09199999999999875,101
deit_base_patch16_224,8,0.2,81.1,81.078,95.14,-0.02199999999999136,101
deit_base_patch16_224,8,0.3,81.1,81.036,95.114,-0.06399999999999295,101
deit_base_patch16_224,8,0.5,81.1,81.024,95.078,-0.0759999999999934,101
deit_base_patch16_224,8,0.7,81.1,80.892,94.986,-0.2079999999999984,101
deit_base_patch16_224,12,0.0,80.142,80.142,94.586,0.0,53
deit_base_patch16_224,12,0.005,80.142,80.13,94.624,-0.012000000000000455,53
deit_base_patch16_224,12,0.01,80.142,80.162,94.634,0.020000000000010232,53
deit_base_patch16_224,12,0.015,80.142,80.13,94.596,-0.012000000000000455,53
deit_base_patch16_224,12,0.02,80.142,80.134,94.582,-0.007999999999995566,53
deit_base_patch16_224,12,0.035,80.142,80.116,94.606,-0.02599999999999625,53
deit_base_patch16_224,12,0.05,80.142,80.136,94.548,-0.006000000000000227,53
deit_base_patch16_224,12,0.075,80.142,80.072,94.632,-0.06999999999999318,53
deit_base_patch16_224,12,0.1,80.142,80.088,94.552,-0.054000000000002046,53
deit_base_patch16_224,12,0.2,80.142,80.144,94.59,0.0020000000000095497,53
deit_base_patch16_224,12,0.3,80.142,80.03,94.6,-0.11199999999999477,53
deit_base_patch16_224,12,0.5,80.142,80.066,94.406,-0.0759999999999934,53
deit_base_patch16_224,12,0.7,80.142,79.808,94.482,-0.333999999999989,53
deit_base_patch16_224,16,0.0,77.512,77.51,93.07,-0.001999999999995339,11
deit_base_patch16_224,16,0.005,77.512,77.544,93.068,0.031999999999996476,11
deit_base_patch16_224,16,0.01,77.512,77.488,93.034,-0.02400000000000091,11
deit_base_patch16_224,16,0.015,77.512,77.492,93.012,-0.01999999999999602,11
deit_base_patch16_224,16,0.02,77.512,77.498,93.026,-0.013999999999995794,11
deit_base_patch16_224,16,0.035,77.512,77.494,93.012,-0.018000000000000682,11
deit_base_patch16_224,16,0.05,77.512,77.462,93.04,-0.04999999999999716,11
deit_base_patch16_224,16,0.075,77.512,77.526,93.032,0.013999999999995794,11
deit_base_patch16_224,16,0.1,77.512,77.51,93.04,-0.001999999999995339,11
deit_base_patch16_224,16,0.2,77.512,77.61,92.998,0.09799999999999898,11
deit_base_patch16_224,16,0.3,77.512,77.592,92.998,0.0799999999999983,11
deit_base_patch16_224,16,0.5,77.512,77.426,92.884,-0.08599999999999852,11
deit_base_patch16_224,16,0.7,77.512,77.028,92.832,-0.48399999999999466,11
