Backbone,Method,r,beta,Top1,Top5,GFLOPs,FLOPs_Reduction,Final_Tokens,E2E_Throughput,scan_type
ViT-L/16,Full,0,,85.6820,97.7420,61.6041,0.0000,197,219.6562,full
ViT-L/16,ToMe,4,,85.2160,97.4860,46.1459,25.0929,101,305.0404,tome
ViT-L/16,Ours,4,0.0,85.2160,97.4860,46.1459,25.0929,101,307.3952,ours_beta_scan
ViT-L/16,Ours,4,0.005,85.2020,97.5100,46.1459,25.0929,101,310.0868,ours_beta_scan
ViT-L/16,Ours,4,0.01,85.2380,97.5040,46.1459,25.0929,101,309.8763,ours_beta_scan
ViT-L/16,Ours,4,0.015,85.2540,97.5060,46.1459,25.0929,101,309.7951,ours_beta_scan
ViT-L/16,Ours,4,0.02,85.2740,97.5140,46.1459,25.0929,101,309.3503,ours_beta_scan
ViT-L/16,Ours,4,0.025,85.2640,97.5040,46.1459,25.0929,101,310.4504,ours_beta_scan
ViT-L/16,Ours,4,0.03,85.2260,97.5040,46.1459,25.0929,101,309.2356,ours_beta_scan
ViT-L/16,Ours,4,0.035,85.2400,97.4960,46.1459,25.0929,101,309.0793,ours_beta_scan
ViT-L/16,Ours,4,0.04,85.2200,97.4780,46.1459,25.0929,101,309.0963,ours_beta_scan
ViT-L/16,Ours,4,0.045,85.2580,97.5000,46.1459,25.0929,101,308.8284,ours_beta_scan
ViT-L/16,Ours,4,0.05,85.2480,97.4860,46.1459,25.0929,101,309.0295,ours_beta_scan
ViT-L/16,Ours,4,0.055,85.2100,97.5060,46.1459,25.0929,101,310.0893,ours_beta_scan
ViT-L/16,Ours,4,0.06,85.2300,97.5120,46.1459,25.0929,101,308.7729,ours_beta_scan
ViT-L/16,Ours,4,0.065,85.2560,97.5040,46.1459,25.0929,101,308.8085,ours_beta_scan
ViT-L/16,Ours,4,0.07,85.2180,97.5040,46.1459,25.0929,101,308.6542,ours_beta_scan
ViT-L/16,ToMe,8,,83.2240,96.5980,30.9878,49.6986,7,461.4377,tome
ViT-L/16,Ours,8,0.0,83.2220,96.5980,30.9878,49.6986,7,455.3915,ours_beta_scan
ViT-L/16,Ours,8,0.005,83.2120,96.5900,30.9878,49.6986,7,457.0195,ours_beta_scan
ViT-L/16,Ours,8,0.01,83.1900,96.6100,30.9878,49.6986,7,455.4008,ours_beta_scan
ViT-L/16,Ours,8,0.015,83.2560,96.7020,30.9878,49.6986,7,454.4536,ours_beta_scan
ViT-L/16,Ours,8,0.02,83.1700,96.7120,30.9878,49.6986,7,456.9406,ours_beta_scan
ViT-L/16,Ours,8,0.025,83.2640,96.7400,30.9878,49.6986,7,456.7810,ours_beta_scan
ViT-L/16,Ours,8,0.03,83.1340,96.7160,30.9878,49.6986,7,454.1714,ours_beta_scan
ViT-L/16,Ours,8,0.035,83.2000,96.7260,30.9878,49.6986,7,454.7644,ours_beta_scan
ViT-L/16,Ours,8,0.04,83.1880,96.7120,30.9878,49.6986,7,456.9480,ours_beta_scan
ViT-L/16,Ours,8,0.045,83.2660,96.7280,30.9878,49.6986,7,455.4348,ours_beta_scan
ViT-L/16,Ours,8,0.05,83.2020,96.7160,30.9878,49.6986,7,454.1162,ours_beta_scan
ViT-L/16,Ours,8,0.055,83.2740,96.7140,30.9878,49.6986,7,455.2366,ours_beta_scan
ViT-L/16,Ours,8,0.06,83.2460,96.7060,30.9878,49.6986,7,453.9677,ours_beta_scan
ViT-L/16,Ours,8,0.065,83.1380,96.7300,30.9878,49.6986,7,452.5906,ours_beta_scan
ViT-L/16,Ours,8,0.07,83.0760,96.6720,30.9878,49.6986,7,456.8426,ours_beta_scan
ViT-L/16,ToMe,12,,20.4100,31.9300,20.8936,66.0841,2,661.3825,tome
ViT-L/16,Ours,12,0.0,20.4080,31.9300,20.8936,66.0841,2,648.9258,ours_beta_scan
ViT-L/16,Ours,12,0.005,20.3800,31.9580,20.8936,66.0841,2,649.4718,ours_beta_scan
ViT-L/16,Ours,12,0.01,20.3020,31.8660,20.8936,66.0841,2,649.4117,ours_beta_scan
ViT-L/16,Ours,12,0.015,20.4240,31.8500,20.8936,66.0841,2,649.6248,ours_beta_scan
ViT-L/16,Ours,12,0.02,20.4060,31.9560,20.8936,66.0841,2,649.4739,ours_beta_scan
ViT-L/16,Ours,12,0.025,20.4340,31.9380,20.8936,66.0841,2,649.8522,ours_beta_scan
ViT-L/16,Ours,12,0.03,20.3960,31.8900,20.8936,66.0841,2,649.4332,ours_beta_scan
ViT-L/16,Ours,12,0.035,20.3180,31.7800,20.8936,66.0841,2,649.1850,ours_beta_scan
ViT-L/16,Ours,12,0.04,20.3540,31.7800,20.8936,66.0841,2,648.8476,ours_beta_scan
ViT-L/16,Ours,12,0.045,20.5420,31.8800,20.8936,66.0841,2,598.8286,ours_beta_scan
ViT-L/16,Ours,12,0.05,20.6240,31.9380,20.8936,66.0841,2,647.5485,ours_beta_scan
ViT-L/16,Ours,12,0.055,20.5500,32.0040,20.8936,66.0841,2,650.0499,ours_beta_scan
ViT-L/16,Ours,12,0.06,20.2020,31.7300,20.8936,66.0841,2,649.7648,ours_beta_scan
ViT-L/16,Ours,12,0.065,20.3560,31.9340,20.8936,66.0841,2,649.1063,ours_beta_scan
ViT-L/16,Ours,12,0.07,20.1940,31.7000,20.8936,66.0841,2,648.8101,ours_beta_scan
